Name,Cost,Attack,Health,Rarity,Height,thumbs,Gender,Fico,Looks,Pasta,Reading Level,Abilities,Type,description_a,description_b
Tasty Fish,1,1,1,Common,9 in,0,F,50,1/10,4,1st Grade,Deathrattle:  Restore 3 health to your hero,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a fish, short, ugly, broke, ghostly aura, named Tasty Fish. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a fish, short, ugly, broke, ghostly aura, named Tasty Fish, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Skinny Elf,1,1,2,Common,5ft 9,2,M,620,7/10,1,9th Grade,,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, named Skinny Elf. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, named Skinny Elf, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Greedy Dwarf,1,1,1,Rare,3ft 6,2,M,760,5/10,5,8th Grade,Survivor:  Draw a card,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, short, wealthy, battle-scarred but standing, named Greedy Dwarf. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, short, wealthy, battle-scarred but standing, named Greedy Dwarf, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Eager Squire,1,1,1,Common,5ft 1,2,M,510,6/10,4,6th Grade,Shield Wall 1,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, broke, heavily armored, named Eager Squire. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, broke, heavily armored, named Eager Squire, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Sinister Spy,1,1,1,Rare,5ft 6 in,2,F,650,8/10,1,3rd Grade,Battle Cry:  Reveal your opponents Hand,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a female, attractive, glowing with energy, named Sinister Spy. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a female, attractive, glowing with energy, named Sinister Spy, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Weird Fish,1,1,1,Legendary,1ft 8in,0,F,10,1/10,1,1st Grade,Flash:  Reverse the stack,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a fish, short, ugly, broke, crackling with lightning, named Weird Fish. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a fish, short, ugly, broke, crackling with lightning, named Weird Fish, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Mean Bear,2,1,3,Common,7ft 2in,0,F,410,5/10,6,1st Grade,Enrage:  +2 Attack,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a bear, tall, broke, in a furious rage, named Mean Bear. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a bear, tall, broke, in a furious rage, named Mean Bear, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Big Bear,2,1,4,Common,7ft 10in,0,M,310,6/10,10,1st Grade,,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a bear, tall, broke, named Big Bear. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a bear, tall, broke, named Big Bear, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Horny Frog,2,1,2,Common,1ft 3 in,0,F,10,3/10,1,1st Grade,Counterstrike,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a frog, short, ugly, broke, in a counter-attack stance, named Horny Frog. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a frog, short, ugly, broke, in a counter-attack stance, named Horny Frog, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Ugly Cow,2,1,3,Common,5ft 2 in,0,F,20,1/10,2,2nd Grade,Survivor:  Restore 3 health to your hero,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a cow, ugly, broke, battle-scarred but standing, named Ugly Cow. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a cow, ugly, broke, battle-scarred but standing, named Ugly Cow, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Negligent Zookeeper,2,1,2,Common,5ft 6in,2,M,480,5/10,8,6th Grade,Battle Cry:  Draw 3 minions from the Zoo,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, broke, glowing with energy, named Negligent Zookeeper. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, broke, glowing with energy, named Negligent Zookeeper, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Snake Oil Salesman,2,1,2,Common,5ft 4in,2,F,800,6/10,2,12th Grade,Survivor:  Reduce enemy minion attacks to 1,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a female, wealthy, battle-scarred but standing, named Snake Oil Salesman. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a female, wealthy, battle-scarred but standing, named Snake Oil Salesman, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Man-At-Arms,2,1,3,Common,5ft 6in,2,M,620,5/10,3,6th Grade,Shield Wall 1,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, heavily armored, named Man-At-Arms. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, heavily armored, named Man-At-Arms, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Tiny Turtle,2,1,2,Common,1 foot,0,F,750,4/10,1,11th Grade,Armored 1,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a turtle, short, wealthy, heavily armored, named Tiny Turtle. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a turtle, short, wealthy, heavily armored, named Tiny Turtle, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Musical Bandit,2,1,2,Common,5ft 4in,2,M,550,8/10,3,8th Grade,Blood Lust: Draw a card,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, attractive, broke, in a wild frenzy, named Musical Bandit. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, attractive, broke, in a wild frenzy, named Musical Bandit, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Old Bear,2,2,3,Legendary,7ft 8in,0,F,660,3/10,2,11th Grade (glasses),,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a bear, tall, ugly, named Old Bear. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a bear, tall, ugly, named Old Bear, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Hardened Hoplite,3,1,3,Rare,5ft 2 in,2,M,520,6/10,3,3rd Grade,"Counterstrike,  Shield Wall 1",Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, broke, heavily armored, named Hardened Hoplite. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, broke, heavily armored, named Hardened Hoplite, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Busty Eskimo,3,2,6,Common,5ft 4 in,2,F,780,9/10,4,12th Grade,,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a female, attractive, wealthy, named Busty Eskimo. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a female, attractive, wealthy, named Busty Eskimo, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Noble Knight,3,2,2,Common,5ft 6 in,2,M,750,8/10,2,2nd Grade,Armored 1,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, attractive, wealthy, heavily armored, named Noble Knight. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, attractive, wealthy, heavily armored, named Noble Knight, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Ugly Orc,3,3,2,Double Common,6ft 6 in,2,F,520,3/10,3,3rd Grade,,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a female, tall, ugly, broke, named Ugly Orc. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a female, tall, ugly, broke, named Ugly Orc, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Barbarian Beastmaster,3,1,3,Secret Rare,5ft 11in,2,M,650,7/10,7,3rd Grade,BattleCry:  Send a Random Enemy Animal to the Zoo,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, glowing with energy, named Barbarian Beastmaster. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, glowing with energy, named Barbarian Beastmaster, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Ragin Rhino,3,3,1,Semi Rare,8ft 2 in,0,M,680,3/10,6,1st Grade,Charge,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a rhinoceros, tall, ugly, charging forward, named Ragin Rhino. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a rhinoceros, tall, ugly, charging forward, named Ragin Rhino, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Goblin King,3,2,4,Rare,5ft 8in,2,M,760,4/10,2,10th Grade,,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, wealthy, named Goblin King. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, wealthy, named Goblin King, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Prickly Porcupine,3,2,3,Common,3ft 2in,0,F,120,5/10,2,4th Grade,Counterstrike,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a porcupine, short, broke, in a counter-attack stance, named Prickly Porcupine. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a porcupine, short, broke, in a counter-attack stance, named Prickly Porcupine, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Tiny Dragon,3,3,3,Legendary,2ft 1in,0,F,700,6/10,1,3rd Grade,,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a dragon, short, named Tiny Dragon. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a dragon, short, named Tiny Dragon, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Bigger Bear,4,3,6,Legendary,10ft 4 in,0,M,500,5/10,12,1st Grade,,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a bear, tall, broke, named Bigger Bear. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a bear, tall, broke, named Bigger Bear, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Hungry Centurion,4,2,4,Common,5ft 11,2,M,650,7/10,15,6th Grade,ShieldWall 1,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, named Hungry Centurion. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, named Hungry Centurion, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Hungry Tiger,4,2,4,Rare,4ft 6 in,0,F,300,6/10,6,1st Grade,"Enrage,  add an attack (forward) to the stack",Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a tiger, broke, in a furious rage, named Hungry Tiger. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a tiger, broke, in a furious rage, named Hungry Tiger, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Tumbly Panda,4,2,5,Common,6ft 3in,0,M,250,7/10,8,2nd Grade,Survivor:  Draw a card,Animal,"1990s Saturday morning cartoon character. Close-up bust portrait of a panda, tall, broke, battle-scarred but standing, named Tumbly Panda. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a panda, tall, broke, battle-scarred but standing, named Tumbly Panda, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Swedish Lancer,4,3,2,Secret Rare,6ft 2in,2,F,760,8/10,4,PHD,Charge,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a female, tall, attractive, wealthy, charging forward, named Swedish Lancer. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a female, tall, attractive, wealthy, charging forward, named Swedish Lancer, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Giant Turtle,4,2,6,Rare,12ft 1 in,2,M,600,4/10,10,1st Grade,Armored 1,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, tall, heavily armored, named Giant Turtle. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, tall, heavily armored, named Giant Turtle, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Corrupted Zookeeper,4,3,5,Common,5ft 2 in,2,M,520,1/10,1,4th Grade,Send all animals in Zoo to the shadow realm,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, ugly, broke, surrounded by wild animals, named Corrupted Zookeeper. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, ugly, broke, surrounded by wild animals, named Corrupted Zookeeper, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Oiled Up Elf Lord,5,4,6,Legendary,6ft 6in,2,M,790,9/10,10,12th Grade,,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, tall, attractive, wealthy, named Oiled Up Elf Lord. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, tall, attractive, wealthy, named Oiled Up Elf Lord, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Skinny Blood Witch,5,1,4,Rare,6ft 1in,2,F,650,8/10,0,10th Grade,Blood Lust:  Summon minions from the shadow realm in adjacent squares,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a female, tall, attractive, wreathed in dark energy, named Skinny Blood Witch. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a female, tall, attractive, wreathed in dark energy, named Skinny Blood Witch, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Barbarian Barber,5,3,6,Common,6ft,2,M,400,6/10,6,7th Grade,Enrage +3 Attack,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, tall, broke, in a furious rage, named Barbarian Barber. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, tall, broke, in a furious rage, named Barbarian Barber, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Big Troll,5,3,9,Common,12ft 10 in,2,M,300,1/10,7,1st Grade,,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, tall, ugly, broke, named Big Troll. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, tall, ugly, broke, named Big Troll, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Death Ghecko,5,5,4,Rare,6ft 1in,4,M,350,2/10,4,2nd Grade,,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, tall, ugly, broke, named Death Ghecko. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, tall, ugly, broke, named Death Ghecko, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
Dr. Lazer,5,4,3,Legendary,5ft 6in,2,M,400,7/10,2,PHD,Charge,Person,"1990s Saturday morning cartoon character. Close-up bust portrait of a male, broke, charging forward, named Dr. Lazer. Flat solid color background. Thick outlines, bright colors, expressive face. Character design sheet style. No text.","Children's fairy tale book illustration. Full body painting of a male, broke, charging forward, named Dr. Lazer, standing in a dramatic outdoor scene with a detailed painted background. Watercolor and ink style, loose brushwork, storybook lighting. No text."
